content_id,phase_id,name,order,description
ucob,p1,P1 ツインタニア (Twintania),1,"開幕フェーズ。
主要ギミック: 拘束具 (Liquid Hell)、神鳥の魔印 (Magnetism)、Plummet、
Conflag Strike、Twister (DPSチェック前の即死誘発)、Death Sentence (TB)、
磁力 (引き寄せ/反発の◯×振り分け)、第7霊災 (Hatch + Liquid Hell)。
野良主流は「新みんとっと / H3構成 / 拘束具逆▽ (3 つの拘束具を逆三角形配置)」。
"
ucob,p2,P2 ネール・デウス・ダーナス (Nael Deus Darnus),2,"引用詠唱 (Quote) に応じて配置を変える「コール戦」フェーズ。
主要ギミック: サンダーストラック (青雷)、レイヴンダイブ (TB)、
バハムートクロウ、ラヴァディープ (赤デバフ)、ハイパーノヴァ (氷)、
カータライズ (Cauterize / 直線ダイブ)、ヘヴンスフォール、
メテオストリーム、メテオ (ドラゴン add)、フィエリディスパッチ (頭割り)、
ダブルアスペクト (二重デバフ詠唱)。
野良主流は「新みんとっと / カータTLB (カータライズで タンクLB3 を発動)」。
"
ucob,p3,P3 バハムート・プライム (Bahamut Prime),3,"最長フェーズ。プライム / ネール / ツインタニアの 3 体が「三重奏 (Trio)」として
同時にギミックを行う。Trio 構成 (野良主流呼称):
  1. 進軍の三重奏 (Quickmarch Trio)   ← 進軍十字
  2. 黒炎の三重奏 (Blackfire Trio)
  3. 災厄の三重奏 (Fellruin Trio)
  4. 天地の三重奏 (Heavensfall Trio)
  5. 連撃の三重奏 (Tenstrike Trio)     ← 連撃V字
  6. 群竜の八重奏 (Grand Octet)        ← 群竜TLB
主要ギミック: メガフレア、Twister、アースシェイカー、Liquid Hell、
タワー処理、フレア (Flatten)、Hypernova、Dive、ドラゴン add 制御。
野良主流は「新みんとっと / 進軍十字 / 連撃V字 / 群竜TLB」。
"
ucob,p4,P4 2体フェーズ (Adds Phase / Twintania & Nael),4,"ツインタニアとネールの 2 体フェーズ (Trinity)。
P1 と P2 のギミックが同時進行する短いフェーズ。
主要ギミック: 拘束具 (Liquid Hell)、Twister、Death Sentence、
サンダーストラック (青雷)、レイヴンダイブ、ラヴァディープ、
ハイパーノヴァ、Doom デバフ、Earthshaker。
HP 同期処理 (2 体の HP を揃えて削る) が必須。
"
ucob,p5,P5 金バハ / 終焉 (Golden Bahamut Prime / Akh Morn),5,"最終フェーズ。Golden Bahamut Prime (金色のバハムート) が登場する DPS チェック。
主要ギミック: メガフレア (リミットカット連続)、
ギガフレア (DPS チェック頭割り)、テラフレア (時間切れ)、
エクサフレア (移動型 AoE、8 方向ランダム)、
モーン・アファー (Morn Afar / 大ダメージ範囲、ボス足元集合)、
アク・モーン (Akh Morn / 3〜6 連続範囲ダメージ、敵視 1 位)。
野良主流は「ボス足元集合のスタック処理 + アク・モーン 無敵切替」。
"
uwu,p1,P1 ガルーダ (Garuda),1,"開幕フェーズ。スリップストリーム、ミストラルソング、フェザーレイン、サーマルロウ、
メソハイ、ウィキッドウィール、ウィキッドトルネード、低気圧(ドーム処理)など。
所要時間 約2分43秒。
野良主流は「ドーム処理(低気圧)」+「メソハイMTキャス」+「インシネレート1回目ST/2回目MT」。
"
uwu,p2,P2 イフリート (Ifrit),2,"クリムゾンサイクロン、レイディアントプルーム、エラプション、炎獄の楔、灼熱の咆哮など。
所要時間 約2分37秒。
野良主流は「楔:逆Z」処理。①D1 ②D2 ③D3 ④D4 の順で楔を破壊。
"
uwu,p3,P3 タイタン + アルテマ履行LB (Titan + Limit Break Phase),3,"ジオクラッシュ、ロックバスター、マウンテンバスター、大地の重み、ランドスライド、
グラナイトジェイル、タムルトなど。タイタン討伐後、ヘイブンスインビョクスから
アルテマ履行(LB3)フェーズへ繋がる。
所要時間 約4分27秒 (タイタン本体)。
野良主流は「ジェイル自滅式 (重み2回目で ST/メレー/レンジが被弾死)」+
「マウンテンバスター 1回目 MT / 2回目 ST(かばう) / 3回目 MT」。
"
uwu,p4,P4 追撃の究極幻想 (Annihilation - Predation),4,"アルテマウェポン本体フェーズの前半。誘導レーザー(吸着爆雷)、激震、
フェザーレイン、ジェイル、十字範囲など。所要時間 約1分38秒。
野良主流は「十字無視法」(十字範囲を安置判定で無視して位置取り)。
"
uwu,p5,P5 爆撃の究極幻想 (Annihilation - Bombardment),5,"アルテマウェポン本体フェーズの中盤。緑玉(エメラルドレディアンス)、
ノックバック、メソハイ、灼熱など。所要時間 約58秒。
野良主流は「3111 (緑玉3-1-1-1配分)」処理。
"
uwu,p6,P6 乱撃+最終三蛮神 (Annihilation - Final + Primal Roulette),6,"アルテマウェポン本体フェーズの終盤。乱撃 (タンクLB3 ※顔面受け)、
アルテマ詠唱、エーテル波動、紫玉(パープルレディアンス)、そして
最終三蛮神ルーレット (ガルーダ/イフリート/タイタン のランダム順序処理) で締める。
所要時間 約2分28秒。
野良主流は「乱撃TLB (タンクLB3顔面受け)」+「紫玉 4 隅散開」。
"
tea,p1,P1 リビングリキッド (Living Liquid),1,"開幕フェーズ。リビングリキッド (本体) と頭手 (Liquid Hand / Hand of Prayer/Parting) を相手取る。
主要ギミック: プロティアンウェイブ、ハンドオブペイン、ジャグドール、ドレナージ、
圧壊 (Pressurize/Embolus)、スプラッシュ、スルース、サイコロ (Throttle - 1/2/3/4 番号デバフ)。
野良主流は「ヤークト無視 (20秒バースト) + サイコロ 1211」。
時間切れ 2分20秒だがヤークト無視では 1分9秒以内に本体だけ削り切る。
"
tea,p2,P2 ブルートジャスティス & クルーズチェイサー (2体フェーズ),2,"ジャスティス＋チェイサーの2体フェーズ。間に Limit Cut (アルファソード / スーパーブラスティチャージ /
ホークブラスター) を挟む。
主要ギミック: 初期散開チャクラム、雷・水圧縮 (1〜3回目)、ミサイル全弾発射、
カウント・地雷処理、ナイサイ (Judgment Nisi)、最後の審判 (開廷/結審)、
ロケットパンチ&スーパージャンプ、Verdict (時間切れ)。
野良主流は「ヒラ先 (Healer-priority Nisi渡し) + サイコロ番号配置」。
"
