content_id,phase_id,id,name,description
ucob,p1,shin-mintotto-h3,新みんとっと / H3構成 / 拘束具逆▽ (野良主流),"2024-09 にりりーどーる Lodestone マクロが「みんとっと → 新みんとっと」へ
切替わったタイミングで野良主流が刷新された。
H3 構成 (ヒーラー 3) + 拘束具を逆三角形 (▽) 配置で災厄ギミックの視認性を上げる流派。
"
ucob,p1,t3-mintotto,T3構成 みんとっと (代替・旧主流),"実装初期からの「みんとっと」(タンク 3) 構成。
現在も一部固定で採用される代替流派。
# 出典: https://na.finalfantasyxiv.com/lodestone/character/18500174/blog/4804267/
"
ucob,p2,kata-tlb,カータTLB (新みんとっと),"カータライズ (Cauterize / 直線ダイブ) のタイミングで タンク LB3 を発動し
パーティ全体のダメージを軽減する野良主流処理。
"
ucob,p3,shingun-juuji,進軍十字 (Quickmarch Trio),"進軍の三重奏 (Quickmarch Trio) の野良主流処理。
十字状の配置でアースシェイカー / メテオストリーム / Dive を捌く。
"
ucob,p3,rengeki-v,連撃V字 (Tenstrike Trio),"連撃の三重奏 (Tenstrike Trio) の野良主流処理。
魔力錬成 (Generate) 対象 3 名を V 字に配置して拘束具誘導 + 散開を両立。
# 出典: https://asellog.com/bahamut-p3tl3/
"
ucob,p3,gunryu-tlb,群竜TLB (Grand Octet),"群竜の八重奏 (Grand Octet) の最終ギミック。
メガフレアダイブのタイミングでタンク LB3 を発動し、頭割りマーカーを無視できる
「マラソン処理」の野良主流。プライムの東西南北位置で時計/反時計回りを分岐。
# 出典: https://asellog.com/bahamut-p3tl3/
"
ucob,p5,gold-bahamut-final,金バハ最終処理 (新みんとっと / ボス足元集合),"モーン・アファーはボス足元集合で全員均等に受ける。
アク・モーンは MT/ST 無敵切替で対応。
エクサフレアの安置 (8 方向ランダム) は床マーカーをパーティで分担コールする。
"
uwu,p1,dome-shori,ドーム処理 (低気圧),"低気圧 (サーマルロウ/メソハイ) の被弾優先度を「ST > ST/H1/H2/D3/D4 > D1 > D2」で
回す野良主流処理法。初動 ST 受けで誘導距離を最小化する。
"
uwu,p1,mesohigh-mt-cast,メソハイ MT キャス担当,"メソハイ線取りを D 側に D4、B 側に MT (キャスター MT 想定) で取る流派。
みんとっと動画準拠で野良主流。
"
uwu,p2,kusabi-gyaku-z,楔:逆Z (野良主流),"炎獄の楔を逆 Z 字配置で①〜④の順に破壊する流派。
①D1 / ②D2 / ③D3 / ④D4 が担当。
D3D4 はエラプ誘導から楔へ。みんとっと動画準拠。
"
uwu,p3,jail-jimetsu,ジェイル自滅式 (4連スキップ),"重み 2 回目で ST/D1/D2/D3 が自滅して人数を減らし、
3 連ジェイル + 4 連ジェイルを処理する野良主流。
蘇生先は H1->ST / H2->D1 / D4->D2,D3。
みん学 (4連スキップ) ジェイル自滅 TLB 法プレイリスト参照。
Source: https://www.youtube.com/playlist?list=PL2Hitw4uipFQQ8svogk788A9eWSPtz33M
"
uwu,p4,juuji-mushi,十字無視法 (安置判定),"十字範囲攻撃を安置判定で無視して位置取りを最適化する流派。
フェザーレイン回避方向は ★ -> A -> D。
ジェイル破壊はフェザーレイン回避時にターゲット可能。
"
uwu,p5,san-ichi-ichi-ichi,3111 (緑玉 3-1-1-1 配分),"緑玉(エメラルドレディアンス)を 3-1-1-1 で配分する野良主流。
1 回目は MT/ST/D1 / 2-4 回目は MT が処理。
爆撃 P メソハイは 1 回目 D3 / 2 回目 灼熱ヒラ。
"
uwu,p6,ranhageki-tlb,乱撃 TLB (タンクLB3 顔面受け),"乱撃を ST のタンク LB3 (顔面受け) で処理する野良主流。
D マーカー誘導 -> 外周避け + ST メソハイ -> D 集合。
MT がアルテマ詠唱 LB3、ST がエーテル波動 LB1 を担当。
"
uwu,p6,final-3-primals,最終三蛮神ルーレット (3パターン分岐),"最終三蛮神はガルーダ/イフリート/タイタンのスタートがランダム。
①ガルーダスタート (イフ→タコ)
②イフリートスタート (ガル→タコ)
③タイタンスタート (イフ→ガル)
各パターンで移動ルートが異なる。スプリントをイフリート処理に合わせる。
"
