content_id,phase_id,tip
ucob,p1,Twister の捨て位置は近接組がボスクリーブ内に置くと安定する。
ucob,p1,拘束具 (Liquid Hell) は▽逆三角に置いて第7霊災のハッチ位置を見やすくする。
ucob,p1,Death Sentence (タンクバスター) は MT 側 CD or ST スイッチで受ける。
ucob,p2,コール (引用詠唱) のパターンを覚えるのが攻略のメイン。
ucob,p2,サンダーストラック (青雷) 付与者は声で大きくコールする慣習。
ucob,p2,ダイブマーカーは雷ターゲットを参考に配置を判断する。
ucob,p3,三重奏は全て『プライム + ネール + ツインタニアの 3 体が同時にギミックを実行する』構造。
ucob,p3,Trio 順: 進軍 → 黒炎 → 災厄 → 天地 → 連撃 → 八重奏 (Grand Octet) の 6 段階。
ucob,p3,八重奏のマラソン方向はプライム/ネール出現位置で時計/反時計を判断する (要事前合意)。
ucob,p3,群竜のメガフレアダイブで TLB3 を打つので、ST タンク無敵タイミングと衝突しないこと。
ucob,p4,2 体の HP は同期して削るのが鉄則 (片方を先に倒すと残った方が enrage)。
ucob,p4,P1 / P2 のギミックを混合処理するため、配置・コールはパーティ事前合意必須。
ucob,p4,常時移動が必要 (Twister 回避)。
ucob,p5,エクサフレアの安置察知が最大の難所。フェニックスの加護 (リレイズ) を失わないよう優先処理。
ucob,p5,モーン・アファーはボス足元スタック (8人分散)。
ucob,p5,アク・モーン は連続 3〜6 回、MT/ST 無敵 (リビデ/インビン) を交互に使用。
ucob,p5,ヒーラー軽減はパーティ全体攻撃に合わせて使用。
uwu,p1,覚醒バフは BH > D4 > D1 の順で取得。
uwu,p1,ミストラルソングは MT B>A>C / ST D>C>A の順で誘導。
uwu,p1,インシネレートは 1 回目 ST 無敵 / 2 回目 MT 無敵 (ナイト MT なら 1 回目無敵)。
uwu,p2,楔配置: 上段に ③ ④、下段に D3 ① ② D4 (逆 Z 字)。
uwu,p2,エラプ誘導は D3D4 が担当した後に楔処理へ移行。
uwu,p3,ジェイル位置: ボス D4 / H1 / H2。ランスラ斜め誘導。
uwu,p3,マウンテンバスター 1回目&3回目は MT バフ / 2回目は ST バフ(orかばう)。
uwu,p3,アルテマ履行 LB 使用順: D4 -> H2 -> D1 -> MT。
uwu,p4,吸着爆雷(ヘイト1位)は MT 無敵 -> 激震後半で ST 挑発。
uwu,p4,誘導レーザー(ヘイト2位)は追撃中は MT 無敵 / 爆撃中は ST 無敵。
uwu,p5,緑玉 1 回目は MT/ST/D1 の 3 人で処理。
uwu,p5,灼熱はヒラがメソハイ線取り (2 回目)。
uwu,p6,乱撃顔面受けは ST が LB3。ヒラは堅実魔で詠唱中断回避。
uwu,p6,紫玉散開: MT AB間->AD間 / ST BC間 / その他 CD間。
uwu,p6,最終三蛮神の移動ルートはパターン分岐。事前にホットバーカンペ準備推奨。
tea,p1,ヤークト無視はペインのダメージ大かつブレが大きいので、軽減を絶対切らさない。
tea,p1,可視扇 (プロティアン) は D3 が誘導、不可視扇は D4 担当が標準。
tea,p1,サイコロ 1211 は中央ピザ (フィールド8等分) を踏み替えていくため自分の番号位置を即座に判断。
tea,p2,サイコロ番号順に散開 (西H1 → 西D3D4D2D1東) で雷散開を綺麗に作る。
tea,p2,ヒラ先渡しは1回目 DPS が反時計で受け渡す手順を体に覚えさせる。
tea,p2,Limit Cut (P1とP2の間) は数字順にスタンを撃ち抜くシンプル処理。
tea,p3,"時空潜航のマーチ: ラピス 1→①, 2→②, 3→③, 4→④。火炎放射は プライム側6人/中央MT/真心側ST。"
tea,p3,次元断絶のマーチ: マップ基準A北で 北MTST / H1H2南、北←D1D2D3D4→南 (デバフ無DPSは抜ける)。
tea,p3,プライムフェーズはバーストとタイムライン暗記が要。固定でPTメンバーごとの担当を明文化。
tea,p4,確定判決はデバフの色 (黄/紫) と親/子の判別を最優先。
tea,p4,未来観測 β は配置パターンが多いので、自分のデバフごとの安置を事前にカンペ化。
tea,p4,Wave Cannon (光学式波動砲) との重複処理あり。タイムラインで先回り。
